user_id,item_number,num_views,num_atc,favorited,purchased,returned
1,AZ47II7IL,5,1,1,1,0
1,A1Z7I944L,4,1,1,1,0
1,A1EA1A9AI,6,1,1,1,1
1,AFIA9L7A7,4,1,1,1,0
1,A14A1LZ9I,2,0,1,0,0
1,AFIZ71E9E,3,1,1,1,0
1,A1IEAIFAZ,2,1,1,1,0
1,A1AAELAE1,3,0,1,0,0
1,AF1L9EI19,6,1,1,1,0
1,AL1A7AL7A,3,1,1,1,0
1,AFLF14LAA,1,0,1,0,0
1,A1AE1AZ19,1,0,1,0,0
1,A1ILZAAZL,6,1,1,1,0
1,A1E1EZ1FA,2,1,1,1,0
1,A1FF9Z1EI,2,0,1,0,0
1,AZ1F11FEF,1,0,1,0,0
1,A1L1A1974,1,0,1,0,0
1,A1194A199,3,1,1,1,1
1,A1774EZ74,2,1,1,1,0
1,A171IL7AE,4,0,1,0,0
1,AFA9I4ZZL,2,1,1,1,0
1,A1I77E1II,2,0,1,0,0
1,AF1IFLFE7,2,1,1,1,0
1,A174L4I91,4,1,1,1,0
1,A174AZ7I9,4,1,1,1,0
1,A1EAZF7I1,3,1,1,1,0
1,AFI4ZIIAZ,1,0,1,0,0
1,A1AA4IFI7,2,0,1,0,0
1,A1477LIL7,1,1,1,1,0
1,A19EE7EIF,2,0,1,0,0
1,AFZ9914F1,2,0,1,0,0
1,AZ977E41I,6,1,1,1,0
1,A1F1771Z1,4,1,1,1,0
1,A11E949AL,4,1,1,1,0
1,A1E77AEAF,2,0,1,0,0
1,AFZAIFAA7,1,0,1,0,0
1,ALFIF4AZ9,1,1,1,1,0
1,A1AIFEI1A,4,1,1,1,0
1,AZ9IEI49A,1,0,1,0,0
1,A1IZ771FZ,3,1,1,1,0
1,A1A71Z1FZ,2,0,0,0,0
1,A19AZZZ9E,1,0,0,0,0
1,AFZ4Z444I,2,0,0,0,0
1,A19AZZAZ9,2,0,0,0,0
1,A17FELZAF,2,0,0,0,0
1,AFLL4AIEA,2,0,0,0,0
1,AF1I19Z7E,1,0,0,0,0
1,AFI17IAFZ,2,0,0,0,0
1,AZIAFZ7E4,1,0,0,0,0
1,AFLE1I1EZ,2,0,0,0,0
1,AFZAZ9911,1,0,0,0,0
1,AFLZAIILF,3,0,0,0,0
1,A11E79L9Z,2,0,0,0,0
1,A1F7AZF9I,1,0,0,0,0
1,AZF7E179E,1,0,0,0,0
1,9A74AAEL,1,0,0,0,0
1,AAE71FLZZ,1,0,0,0,0
1,AALAA4I91,4,0,0,0,0
1,A1EA7A97E,2,0,0,0,0
1,A1FZIEF4A,2,0,0,0,0
1,AFZLA1FZL,2,0,0,0,0
1,A1I77LE1I,2,0,0,0,0
1,AFZFL1ZFZ,2,0,0,0,0
1,A11FE4I47,2,0,0,0,0
1,AFIEFFL14,2,0,0,0,0
1,A1FZ4IZLE,1,0,0,0,0
1,A191414FA,1,0,0,0,0
1,AFL1E4EFI,2,0,0,0,0
1,AFLIFLZ9A,2,0,0,0,0
1,AFII41LA4,2,0,0,0,0
1,AFLFAEL77,2,0,0,0,0
1,AFL1ZAA9Z,2,0,0,0,0
1,AZ91EEIIA,2,0,0,0,0
1,A1E9A4ZIA,2,0,0,0,0
1,AZ19LZFIL,1,0,0,0,0
1,AFAA7ZL4A,2,0,0,0,0
1,AFL99LEIA,2,0,0,0,0
1,A1114L94Z,3,0,0,0,0
1,AZ19711AZ,2,0,0,0,0
1,AFIIFL77L,2,0,0,0,0
1,A1LIAAF4E,2,0,0,0,0
1,A17L7A1L1,1,0,0,0,0
1,AF1LIFIZ7,1,0,0,0,0
1,AFA7FLLZ9,2,0,0,0,0
1,A19F979ZZ,2,0,0,0,0
1,A1I7E7FE7,2,0,0,0,0
1,AFILFZ9ZE,4,0,0,0,0
1,AFZ4IE4F7,2,0,0,0,0
1,A19EFFAZ1,1,0,0,0,0
1,A19F919AI,3,0,0,0,0
1,A1EZE79L1,1,0,0,0,0
1,A11LI9F71,2,0,0,0,0
1,AZ79ZAIL7,1,0,0,0,0
1,AFA94Z71L,1,0,0,0,0
1,AZF744I4I,1,0,0,0,0
1,AFIAF7FF4,1,0,0,0,0
1,A1FL174EI,2,0,0,0,0
1,A174LZZAI,2,0,0,0,0
1,A1ZZ9LA79,2,0,0,0,0
1,A1ELF7ZIL,2,0,0,0,0
1,A1A4E4E4L,1,0,0,0,0
1,A14AFA1IE,2,0,0,0,0
1,A14LZLAE1,1,0,0,0,0
1,A14E4FE99,1,0,0,0,0
1,A1A19EEEF,1,0,0,0,0
1,A1EA1ZE1L,1,0,0,0,0
1,A1FAE4ZL7,1,1,0,1,1
1,A1L1L1FEI,2,0,0,0,0
1,A14FL77ZZ,1,0,0,0,0
1,AFLZ1E14L,1,0,0,0,0
1,A1E14ZAZA,6,0,0,0,0
1,AFLLF11Z4,2,0,0,0,0
1,A14FFE4LA,1,0,0,0,0
1,A14AFI141,1,0,0,0,0
1,49I4LLI4,1,0,0,0,0
1,A1L7IA9A1,1,0,0,0,0
1,AFL74Z71E,2,0,0,0,0
1,A1F171449,2,0,0,0,0
1,AFZ9711IA,2,0,0,0,0
1,A1Z9LFEEF,1,0,0,0,0
1,A14FAEAF7,1,0,0,0,0
1,AFAL779L4,2,0,0,0,0
1,AFIZFFFZE,2,0,0,0,0
1,AZZAI9E11,1,0,0,0,0
1,A17749F7E,2,0,0,0,0
1,AFA4I7EZ9,2,0,0,0,0
1,AFLFEZE4Z,1,0,0,0,0
1,AFL41E14E,2,0,0,0,0
1,A1FE4AZ9I,1,0,0,0,0
1,AFI94EL7Z,1,0,0,0,0
1,A179AF749,5,0,0,0,0
1,AFL417F9I,2,0,0,0,0
1,AFZIFA1A7,1,0,0,0,0
1,9A1AFFZ9,1,0,0,0,0
1,AFAALEFE1,2,0,0,0,0
1,AZ1E7EE7I,2,0,0,0,0
1,AZE9771IZ,1,0,0,0,0
1,AZZI49ZAF,2,0,0,0,0
1,A1EF4A1L4,1,0,0,0,0
1,A1E441ILI,1,0,0,0,0
1,A11ZF144L,2,0,0,0,0
1,AFLL1EEZ1,2,0,0,0,0
1,A1F4L97ZI,1,0,0,0,0
1,A1EI7F747,1,0,0,0,0
1,AFALF7E49,4,0,0,0,0
1,AFIE11LE7,1,0,0,0,0
1,A17I74AA9,1,0,0,0,0
1,AL74LF4AA,1,0,0,0,0
1,91IF1A74,2,0,0,0,0
1,A1EA1Z99A,1,0,0,0,0
1,AFI91I914,2,0,0,0,0
1,A1IE47F4F,2,0,0,0,0
1,AFZ1ZZIZ4,1,0,0,0,0
1,AZ419911E,2,0,0,0,0
1,AFLFI1E41,2,0,0,0,0
1,AA7ELF94E,1,0,0,0,0
1,AFL17199I,2,0,0,0,0
1,A1EAA17I1,4,0,0,0,0
1,A14714L19,2,0,0,0,0
1,AFAAE1A94,2,0,0,0,0
1,A17E1417E,1,0,0,0,0
1,AFIZE9A7I,2,0,0,0,0
1,AZ4LZLAFE,2,0,0,0,0
1,AFA9Z41LI,2,0,0,0,0
1,A1EE91AE1,1,0,0,0,0
1,AAEF74714,1,0,0,0,0
1,A1LL9E9LA,2,0,0,0,0
1,AZ9IAEIE7,1,0,0,0,0
1,A1FELF7II,2,0,0,0,0
1,AZZZIAFZE,1,0,0,0,0
1,AFAEF7AI4,1,0,0,0,0
1,A197E7IFE,1,0,0,0,0
1,A1AZL9A7I,1,0,0,0,0
1,A1I4LI9FZ,1,0,0,0,0
1,A1AZ1FF91,1,0,0,0,0
1,AFL4ZZ9Z4,2,0,0,0,0
1,AZ99EFAZZ,2,0,0,0,0
1,AZEL94FIE,2,0,0,0,0
1,A1LFF91EI,1,0,0,0,0
1,AFI7FE9LF,1,0,0,0,0
1,AF1FFFE4L,2,0,0,0,0
1,A1LLA917Z,2,0,0,0,0
1,A1LZ74EAL,1,0,0,0,0
1,A14A471FL,2,0,0,0,0
1,AFLEALELL,2,0,0,0,0
1,A14ZF4LIL,2,0,0,0,0
1,AFL11ZEE7,2,0,0,0,0
1,A1FZZZILZ,2,0,0,0,0
1,A1F1AIFEF,1,0,0,0,0
1,AZZ1L9E79,2,0,0,0,0
1,AZ9171LIA,2,0,0,0,0
1,AL14L77IA,2,0,0,0,0
1,A1FIZFFF1,1,0,0,0,0
1,A1ZLLE4FZ,2,0,0,0,0
1,A194I11I1,1,0,0,0,0
1,AZ477I7IE,2,0,0,0,0
1,A1A7L94I4,2,0,0,0,0
1,AFLEFALL7,2,0,0,0,0
1,AFI7LIFI7,1,0,0,0,0
1,AFIA47ZZZ,2,0,0,0,0
1,AALA1Z9Z9,1,0,0,0,0
1,A14E4FAFA,1,0,0,0,0
1,AFIAIZL47,1,0,0,0,0
1,A17F4LZ9A,1,0,0,0,0
1,AL7AAF9FA,1,0,0,0,0
1,AFLEFF71I,2,0,0,0,0
1,A1EE7E941,7,1,0,1,1
1,A1F7ZAIEE,2,0,0,0,0
1,ALZ9EIF9I,1,0,0,0,0
1,AZ4ZEEI99,2,0,0,0,0
1,AFIFL1LIF,2,0,0,0,0
1,AFLZ11FL1,1,0,0,0,0
1,A1ZZ91LI1,3,0,0,0,0
1,A1LZLAFEF,1,0,0,0,0
1,AFZLE4E71,1,0,0,0,0
1,A1FI141F7,1,0,0,0,0
